"COMPOUND_ID"|"COMPOUND_NAME"|"FORMULA"|"MASS"|"KNAPSACK_ID"|"NP_ATLAS_ID"|"BIOLOGICAL_ACTIVITY"|"INCHI"|"INCHI_KEY"|"SMILES"
"257"|"fumagillin"|"C26H34O7"|"458.230456"|"C00003133"|"10119"|"invasive aspergillosis;infectious diseases treatment; oncology;beekeeping"|"InChI=1S/C26H34O7/c1-18(2)13-14-20-25(3,33-20)24-23(30-4)19(15-16-26(24)17-31-26)32-22(29)12-10-8-6-5-7-9-11-21(27)28/h5-13,19-20,23-24H,14-17H2,1-4H3,(H,27,28)/b7-5+,8-6+,11-9+,12-10+/t19-,20-,23-,24-,25+,26+/m1/s1"|"NGGMYCMLYOUNGM-CSDLUJIJSA-N"|"C[C@@]1(O[C@@H]1CC=C(C)C)[C@H]1[C@H](OC)[C@@H](CC[C@@]21CO2)OC(=O)/C=C/C=C/C=C/C=C/C(O)=O"
"280"|"(1Z,4Z)-germacrene B"|"C15H24"|"204.187800768"|"N|"11465"|"N|"InChI=1S/C15H24/c1-12(2)15-10-8-13(3)6-5-7-14(4)9-11-15/h6,9H,5,7-8,10-11H2,1-4H3/b13-6-,14-9-"|"GXEGJTGWYVZSNR-OMQMMEOVSA-N"|"CC(C)=C1CC\C(C)=C/CC\C(C)=C/C1"
"324"|"(+)-aristolochene"|"C15H24"|"204.1878"|"C00036300"|"N|"N|"InChI=1S/C15H24/c1-11(2)13-8-9-14-7-5-6-12(3)15(14,4)10-13/h9,12-13H,1,5-8,10H2,2-4H3/t12-,13-,15+/m0/s1"|"YONHOSLUBQJXPR-KCQAQPDRSA-N"|"CC(=C)[C@@H]1CC=C2CCC[C@@H](C)[C@]2(C)C1"
"733"|"Ophiobolin A"|"C25H36O4"|"400.261361"|"N|"N|"N|"InChI=1S/C25H36O4/c1-15(2)10-18-11-16(3)25(29-18)9-8-23(4)12-19-22(20(27)13-24(19,5)28)17(14-26)6-7-21(23)25/h6,10,14,16,18-19,21-22,28H,7-9,11-13H2,1-5H3/b17-6-/t16-,18-,19-,21+,22+,23+,24+,25-/m0/s1"|"MWYYLZRWWNBROW-BDZRSQQBSA-N"|"CC(C)=C[C@@H]1C[C@@H](C)[C@@]2(CC[C@@]3(C)C[C@@H]4[C@@H](C(=O)C[C@]4(C)O)C(C=O)=CC[C@@H]32)O1"
"789"|"beta-Amyrin"|"C30H50O"|"426.386166"|"N|"N|"Anti-inflammatory"|"InChI=1S/C30H50O/c1-25(2)15-16-27(5)17-18-29(7)20(21(27)19-25)9-10-23-28(6)13-12-24(31)26(3,4)22(28)11-14-30(23,29)8/h9,21-24,31H,10-19H2,1-8H3/t21-,22-,23+,24-,27+,28-,29+,30+/m0/s1"|"JFSHUTJDVKUMTJ-QHPUVITPSA-N"|"CC1(C)C[C@@H]2C3=CC[C@H]4[C@]5(C)CC[C@@H](O)C(C)(C)[C@H]5CC[C@]4(C)[C@@]3(C)CC[C@]2(C)CC1"
"10993"|"7-O-Methylsterigmatocystin"|"C19H14O6"|"338.07904"|"C00023634"|"N|"N|"InChI=1S/C19H14O6/c1-21-10-4-3-5-11-15(10)17(20)16-12(22-2)8-13-14(18(16)24-11)9-6-7-23-19(9)25-13/h3-9,19H,1-2H3/t9-,19+/m0/s1"|"JKUJKKGMOZDDJV-ZRNGKTOUSA-N"|"COc1cc2O[C@@H]3OC=C[C@@H]3c2c2Oc3cccc(OC)c3C(=O)c12"
"10996"|"Aflatoxin B1"|"C17H12O6"|"312.063388116"|"C00000546"|"N|"N|"InChI=1S/C17H12O6/c1-20-10-6-11-14(8-4-5-21-17(8)22-11)15-13(10)7-2-3-9(18)12(7)16(19)23-15/h4-6,8,17H,2-3H2,1H3"|"OQIQSTLJSLGHID-UHFFFAOYSA-N"|"COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C2C3C=COC3OC2=C1"
"13757"|"Velutin"|"C17H14O6"|"314.07904"|"N|"N|"N|"InChI=1S/C17H14O6/c1-21-10-6-12(19)17-13(20)8-14(23-16(17)7-10)9-3-4-11(18)15(5-9)22-2/h3-8,18-19H,1-2H3"|"ROCUOVBWAWAQFD-UHFFFAOYSA-N"|"COc1cc(ccc1O)C1=CC(=O)c2c(cc(cc2O)OC)O1"
"14147"|"Tangeretin"|"C20H20O7"|"372.120902994"|"C00001105"|"N|"N|"InChI=1S/C20H20O7/c1-22-12-8-6-11(7-9-12)14-10-13(21)15-16(23-2)18(24-3)20(26-5)19(25-4)17(15)27-14/h6-10H,1-5H3"|"ULSUXBXHSYSGDT-UHFFFAOYSA-N"|"COC1=CC=C(C=C1)C1=CC(=O)C2=C(OC)C(OC)=C(OC)C(OC)=C2O1"
"15772"|"5,2'-Dihydroxy-3,7,8-trimethoxyflavone"|"C18H16O7"|"344.0896"|"C00004609"|"N|"N|"InChI=1S/C18H16O7/c1-22-12-8-11(20)13-14(21)18(24-3)15(25-17(13)16(12)23-2)9-6-4-5-7-10(9)19/h4-8,19-20H,1-3H3"|"SSSCWLSFMYTPNY-UHFFFAOYSA-N"|"COc1cc(O)c2C(=O)C(OC)=C(Oc2c1OC)c1ccccc1O"
