reference_id|title|doi|link
1157|J. Antibiot. 2004, 57, 11, 707|10.7164/antibiotics.57.707|https://www.jstage.jst.go.jp/article/antibiotics1968/57/11/57_11_707/_article
1257|Nat. Chem. Biol. 2016, 12, 419|10.1038/nchembio.2061|https://www.nature.com/articles/nchembio.2061
1324|Int. J. Food Microbiol., 2009, 132, 2-3, 141|10.1016/j.ijfoodmicro.2009.04.011|https://pubmed.ncbi.nlm.nih.gov/19439385/
1333|ChemBioChem, 2015, 16, 15, 2200|10.1002/cbic.201500210|https://doi.org/10.1002/cbic.201500210
1346|J. Gen. Microbiol., 1992, 138, 7, 1421|10.1099/00221287-138-7-1421|https://pubmed.ncbi.nlm.nih.gov/1512574/
1348|Nat. Prod. Bioprospect., 2019 9, 5, 311|10.1007/s13659-019-00220-5|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6814666/
1349|Fitoterapia., 2016, 113, 44|10.1016/j.fitote.2016.06.014|https://pubmed.ncbi.nlm.nih.gov/27370101/
1350|Proceedings of the Indian Academy of Sciences - Section B, 1978, 87, 177|10.1007/BF03178979|https://link.springer.com/article/10.1007/BF03178979
1352|Chem. Pharm. Bull., 2010, 58, 5, 717|10.1248/cpb.58.717|https://pubmed.ncbi.nlm.nih.gov/20460802/
1378|Agr. Biol. Chem., 40, 12, 2487|10.1080/00021369.1976.10862430|https://doi.org/10.1080/00021369.1976.10862430
1379|J. Am. Chem. Soc. 1976, 98, 11, 3365|10.1021/ja00427a051|https://doi.org/10.1021/ja00427a051
1380|Tetrahedron, 1969, 25, 7, 1497|10.1016/S0040-4020(01)82721-6|https://doi.org/10.1016/S0040-4020(01)82721-6
1381|Ann. Nutr. Aliment., 1977, 31,4-6,617||https://pubmed.ncbi.nlm.nih.gov/613924/
1382|Appl. Environ. Microbiol., 1977, 33, 1, 211|10.1128/AEM.33.1.211-212.1977|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC170627/
1385|Med. Mycol., 2007, 45, 3, 225|10.1080/13693780601185939|https://pubmed.ncbi.nlm.nih.gov/17464844/
1386|Mar. Drugs 2015, 13, 3, 1432|10.3390/md13031432.|https://pubmed.ncbi.nlm.nih.gov/25789601/
1387|Mar. Drugs 2014, 12, 10, 5160|10.3390/md12105160|https://pubmed.ncbi.nlm.nih.gov/25317534/
