ORGANISM_ID|ORGANISM_NAME|ORGANISM_LEVEL|PARENT_ID|PARENT_NAME
153|Aspergillus|3|2|Trichocomaceae
1724|Aspergillus acidus|3|2|Trichocomaceae
1728|Aspergillus aculeatinus|3|2|Trichocomaceae
1370|Aspergillus aculeatus|3|2|Trichocomaceae
4053|Aspergillus aegyptiacus|3|2|Trichocomaceae
1731|Aspergillus affinis|3|2|Trichocomaceae
1733|Aspergillus alabamensis|3|2|Trichocomaceae
1734|Aspergillus albertensis|3|2|Trichocomaceae
1737|Aspergillus allahabadii|3|2|Trichocomaceae
1460|Aspergillus alliaceus|3|2|Trichocomaceae
1743|Aspergillus amoenus|3|2|Trichocomaceae
142|Aspergillus amstelodami|3|2|Trichocomaceae
1750|Aspergillus arachidicola|3|2|Trichocomaceae
3924|Aspergillus arcoverdensis|3|2|Trichocomaceae
3925|Aspergillus ardalensis|3|2|Trichocomaceae
1697|Aspergillus arenarius|3|2|Trichocomaceae
1758|Aspergillus asperescens|3|2|Trichocomaceae
1768|Aspergillus aureofulgens|3|2|Trichocomaceae
1770|Aspergillus aureolatus|3|2|Trichocomaceae
1773|Aspergillus aureoterreus|3|2|Trichocomaceae
1775|Aspergillus aureus|3|2|Trichocomaceae
1776|Aspergillus auricomus|3|2|Trichocomaceae
1778|Aspergillus austroafricanus|3|2|Trichocomaceae
1779|Aspergillus avenaceus|3|2|Trichocomaceae
1412|Aspergillus awamori|3|2|Trichocomaceae
4152|Aspergillus banksianus|3|2|Trichocomaceae
1792|Aspergillus bombycis|3|2|Trichocomaceae
1795|Aspergillus brasiliensis|3|2|Trichocomaceae
1798|Aspergillus bridgeri|3|2|Trichocomaceae
1682|Aspergillus caelatus|3|2|Trichocomaceae
540|Aspergillus caespitosus|3|2|Trichocomaceae
1806|Aspergillus calidoustus|3|2|Trichocomaceae
277|Aspergillus campestris|3|2|Trichocomaceae
278|Aspergillus candidus|3|2|Trichocomaceae
129|Aspergillus carbonarius|3|2|Trichocomaceae
1632|Aspergillus carneus|3|2|Trichocomaceae
1591|Aspergillus cervinus|3|2|Trichocomaceae
143|Aspergillus chevalieri|3|2|Trichocomaceae
1817|Aspergillus chinensis|3|2|Trichocomaceae
1402|Aspergillus clavatus|3|2|Trichocomaceae
1846|Aspergillus costaricensis|3|2|Trichocomaceae
